"sex","height","weight"
"Male",67.07,163.61
"Male",66.98,162.23
"Male",69.13,163.06
"Male",67.31,163.76
"Male",66.25,163.84
"Male",72.2,168.39
"Male",71.39,168.19
"Male",60.81,159.14
"Male",64.78,160.58
"Male",68.13,163.63
"Male",63.15,161.36
"Male",73.91,170.46
"Male",74.38,166.68
"Male",69.77,164.7
"Male",73.86,170.27
"Male",65.34,161.75
"Male",72.75,169.74
"Male",63.92,160.03
"Male",61.85,161.79
"Male",71.25,170.94
"Male",61.68,157.11
"Male",70.71,165.6
"Male",65.73,165.85
"Male",68.04,163.39
"Male",62.76,160
"Male",63.05,161.2
"Male",61.34,158.26
"Male",60.59,157.5
"Male",74.35,167.14
"Male",61.36,161.91
"Female",65.42,158.25
"Female",65.76,158.12
"Female",74.6,182.54
"Female",65.67,161.15
"Female",66.06,161.69
"Female",62.6,159.56
"Female",72.26,177.1
"Female",65.48,158.31
"Female",66.87,167.29
"Female",64.29,162.77
"Female",71.11,170.03
"Female",62.4,154.43
"Female",60.95,153.28
"Female",63.15,156.38
"Female",72.54,171.83
"Female",70.49,175.26
"Female",72.68,171.63
"Female",67.37,161.84
"Female",68.11,165.04
"Female",70.48,168.12
"Female",64.33,160.85
"Female",71.84,177
"Female",69.55,171.59
"Female",64.69,156.69
"Female",74.9,182.22
"Female",71.89,168.57
"Female",73.25,176.51
"Female",72.43,174.51
"Female",71.01,172.05
"Female",63.16,155.14
